                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                   2.46,                 5.7729,                 2.8295,                 1.6895,                 9.0467,                 2.0466,                      0,                      0,                      0,                      0,                 2.9288,                 6.1498,                 3.2516,                 2.5707,                 8.8815,                 2.8045,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.7993,                 4.8407,                 2.1448,                 1.5173,                 6.2458,                 1.9113,                      0,                      0,                      0,                      0,                 2.9288,                 6.1498,                 3.2516,                 2.5707,                 8.8815,                 2.8045,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                  1.731,                 4.9508,                 2.1632,                 1.5784,                 6.6369,                 1.9757,                      0,                      0,                      0,                      0,                 2.9611,                 6.1174,                 3.2583,                 2.5572,                 8.8543,                 2.7738,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.8486,                 5.0003,                 2.2754,                 1.8243,                 7.4132,                 2.1397,                      0,                      0,                      0,                      0,                 2.9611,                 6.1174,                 3.2583,                 2.5572,                 8.8543,                 2.7738,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 2.1442,                 5.1181,                 2.6952,                 1.9092,                 6.3067,                 2.4399,                      0,                      0,                      0,                      0,                 2.9611,                 6.1174,                 3.2583,                 2.5572,                 8.8543,                 2.7738,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.9464,                 4.9899,                 2.0064,                 1.8948,                 5.6522,                 1.8213,                      0,                      0,                      0,                      0,                 2.9776,                 6.0589,                 3.3062,                 2.5514,                 8.8521,                 2.8017,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 2.3647,                 5.4091,                 3.0117,                 2.1023,                 7.8849,                 2.6121,                      0,                      0,                      0,                      0,                 2.9776,                 6.0589,                 3.3062,                 2.5514,                 8.8521,                 2.8017,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 2.3725,                 5.0693,                 2.4809,                 2.0615,                 5.9606,                 1.8519,                      0,                      0,                      0,                      0,                 2.9776,                 6.0589,                 3.3062,                 2.5514,                 8.8521,                 2.8017,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.0311,                 4.8756,                 2.2471,                 1.8451,                 5.7432,                 1.9556,                      0,                      0,                      0,                      0,                 2.9828,                 6.0828,                 3.3027,                 2.5097,                 8.8337,                 2.7611,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 2.2444,                 5.1906,                 2.8339,                 2.1906,                 7.3037,                 2.4415,                      0,                      0,                      0,                      0,                 2.9828,                 6.0828,                 3.3027,                 2.5097,                 8.8337,                 2.7611,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.6753,                 4.9589,                 2.0394,                 1.4571,                 6.3558,                 1.8516,                      0,                      0,                      0,                      0,                 2.9828,                 6.0828,                 3.3027,                 2.5097,                 8.8337,                 2.7611,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.4345,                  5.089,                 2.5079,                  2.117,                 5.8782,                 2.2009,                      0,                      0,                      0,                      0,                 3.0107,                  6.088,                 3.3215,                 2.5652,                 8.8725,                 2.7527,             1.9802e-05,             1.9802e-05,             1.9802e-05
