                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.9789,                0.78775,                 1.0769,                   1.09,                0.93221,                 1.0918,                0.57977,                0.60748,                0.56838,                0.34336,                 1.1031,                 1.2473,                 1.2092,                  1.156,                 1.4096,                  1.197,             0.00084703,             0.00084703,             0.00084703
                     51,                0.96856,                0.77554,                 1.0676,                 1.0759,                0.90791,                 1.0794,                0.57837,                0.62154,                0.58662,                0.35823,                 1.1127,                 1.1816,                  1.204,                 1.1651,                 1.3495,                  1.192,             0.00084153,             0.00084153,             0.00084153
                     52,                0.97138,                0.76364,                 1.0671,                 1.0781,                0.89084,                 1.0787,                0.57893,                0.62703,                0.59444,                0.36637,                 1.1085,                 1.2011,                 1.1902,                 1.1557,                 1.3327,                 1.1801,             0.00083603,             0.00083603,             0.00083603
                     53,                0.97256,                 0.7642,                 1.0706,                 1.0863,                0.90557,                 1.0863,                0.56021,                0.60683,                0.55211,                0.32776,                 1.1635,                 1.3816,                  1.249,                 1.2061,                 1.5424,                  1.221,             0.00083053,             0.00083053,             0.00083053
                     54,                0.97421,                  0.763,                  1.071,                  1.084,                0.90555,                 1.0883,                0.59346,                0.61017,                0.59572,                0.36269,                 1.1274,                 1.2042,                 1.2109,                 1.1719,                 1.3457,                 1.1982,             0.00082503,             0.00082503,             0.00082503
                     55,                0.95589,                0.74823,                 1.0578,                 1.0633,                0.87958,                 1.0705,                0.58032,                0.64435,                0.59514,                 0.3641,                 1.0949,                 1.1102,                 1.2065,                 1.1444,                 1.2997,                 1.1879,             0.00081953,             0.00081953,             0.00081953
                     56,                0.96835,                0.74721,                 1.0678,                 1.0799,                0.88745,                 1.0843,                0.58316,                 0.6011,                0.58024,                0.35945,                  1.114,                 1.2031,                 1.1977,                 1.1619,                  1.396,                 1.1896,             0.00081403,             0.00081403,             0.00081403
                     57,                0.96012,                0.74873,                 1.0585,                 1.0733,                0.88141,                 1.0744,                0.56169,                0.64566,                0.57715,                0.34456,                 1.1425,                 1.2628,                 1.2371,                 1.1876,                 1.4327,                 1.2136,             0.00080853,             0.00080853,             0.00080853
                     58,                0.95584,                 0.7455,                 1.0626,                 1.0657,                0.87857,                 1.0787,                0.56858,                0.59034,                0.55089,                0.32643,                  1.172,                 1.4036,                 1.2457,                 1.2043,                 1.5995,                 1.2187,             0.00080303,             0.00080303,             0.00080303
                     59,                0.95585,                0.74265,                 1.0641,                 1.0666,                0.86818,                 1.0798,                0.59349,                0.65163,                0.61201,                0.36469,                 1.1534,                 1.1844,                 1.2263,                 1.1975,                 1.3328,                 1.2129,             0.00079753,             0.00079753,             0.00079753
                     60,                0.95487,                0.74158,                 1.0575,                 1.0648,                0.86768,                 1.0727,                0.58656,                0.61087,                0.58431,                0.35389,                 1.1293,                 1.2502,                 1.2128,                 1.1665,                 1.4006,                 1.1923,             0.00079203,             0.00079203,             0.00079203
                     61,                0.95002,                 0.7314,                 1.0556,                  1.061,                0.86302,                 1.0743,                0.58308,                0.63487,                0.60183,                0.37033,                 1.1287,                 1.1776,                 1.2146,                 1.1663,                 1.3484,                 1.2035,             0.00078653,             0.00078653,             0.00078653
                     62,                0.94092,                0.72022,                 1.0506,                 1.0458,                0.84476,                 1.0652,                0.59691,                0.66178,                0.61268,                0.37892,                 1.0955,                 1.1772,                 1.1945,                 1.1397,                  1.338,                  1.179,             0.00078103,             0.00078103,             0.00078103
                     63,                0.94933,                 0.7267,                 1.0516,                 1.0563,                0.85136,                  1.066,                0.56785,                0.55492,                0.54307,                0.33442,                  1.146,                 1.2261,                 1.2191,                 1.1966,                 1.4186,                 1.2012,             0.00077553,             0.00077553,             0.00077553
                     64,                 0.9431,                0.71724,                 1.0506,                 1.0548,                0.83926,                 1.0648,                 0.5833,                0.60956,                0.57761,                0.35127,                 1.1313,                 1.2544,                 1.2083,                 1.1766,                 1.4317,                 1.1913,             0.00077003,             0.00077003,             0.00077003
                     65,                0.95038,                0.72204,                 1.0574,                 1.0606,                0.84602,                 1.0734,                0.57942,                0.64751,                0.59192,                 0.3571,                 1.1326,                 1.2003,                 1.2129,                 1.1804,                 1.3557,                 1.2028,             0.00076453,             0.00076453,             0.00076453
                     66,                 0.9353,                0.70461,                 1.0477,                 1.0449,                 0.8225,                 1.0646,                0.60843,                0.64815,                0.62131,                0.37687,                 1.1127,                 1.1894,                 1.1987,                 1.1643,                 1.3488,                 1.1927,             0.00075904,             0.00075904,             0.00075904
                     67,                0.93934,                 0.7084,                 1.0507,                 1.0506,                0.82602,                 1.0672,                0.57783,                0.64069,                0.60222,                0.36635,                 1.1172,                 1.2098,                 1.1962,                 1.1661,                 1.3847,                 1.1857,             0.00075354,             0.00075354,             0.00075354
                     68,                0.94833,                0.70937,                 1.0515,                 1.0609,                0.82898,                 1.0692,                0.56528,                0.63683,                0.58314,                0.34894,                 1.1412,                 1.3024,                 1.2135,                 1.1896,                 1.4983,                 1.1964,             0.00074804,             0.00074804,             0.00074804
                     69,                0.94198,                0.70771,                 1.0502,                 1.0517,                0.82718,                 1.0677,                0.59198,                0.63519,                0.60061,                0.36293,                 1.1537,                 1.2045,                 1.2154,                  1.201,                 1.3469,                 1.2023,             0.00074254,             0.00074254,             0.00074254
                     70,                0.93616,                0.70871,                 1.0467,                 1.0464,                0.82819,                 1.0651,                0.61127,                0.64824,                0.60286,                 0.3603,                 1.1341,                 1.2213,                  1.216,                 1.1874,                  1.374,                 1.2056,             0.00073704,             0.00073704,             0.00073704
                     71,                0.93214,                0.69428,                 1.0433,                 1.0408,                0.80608,                 1.0583,                0.59442,                0.65688,                 0.6075,                0.36797,                  1.132,                 1.1865,                 1.2146,                 1.1827,                 1.3373,                 1.1974,             0.00073154,             0.00073154,             0.00073154
                     72,                0.93116,                0.69691,                 1.0433,                 1.0413,                0.81222,                  1.061,                0.57744,                0.65393,                0.59478,                0.36027,                  1.145,                 1.2899,                 1.2225,                 1.1811,                  1.459,                 1.2093,             0.00072604,             0.00072604,             0.00072604
                     73,                0.93523,                0.69198,                 1.0439,                  1.049,                0.81038,                 1.0644,                0.59898,                0.63974,                0.59744,                0.36217,                 1.1222,                 1.2238,                 1.2033,                 1.1716,                 1.3931,                 1.1929,             0.00072054,             0.00072054,             0.00072054
                     74,                0.92157,                0.67682,                 1.0364,                 1.0327,                0.79314,                 1.0555,                0.59891,                0.62005,                0.58626,                0.36264,                 1.1201,                 1.2181,                 1.2051,                 1.1698,                 1.3802,                 1.1953,             0.00071504,             0.00071504,             0.00071504
                     75,                0.92937,                0.67986,                 1.0441,                 1.0391,                0.78907,                 1.0611,                0.59235,                0.65696,                0.60451,                0.37021,                 1.1274,                 1.2011,                 1.2096,                 1.1696,                 1.3684,                 1.1971,             0.00070954,             0.00070954,             0.00070954
                     76,                0.92394,                0.68165,                 1.0387,                 1.0327,                0.78682,                 1.0567,                0.57064,                0.60759,                0.56879,                0.34672,                 1.1551,                  1.258,                  1.236,                 1.2039,                  1.455,                  1.217,             0.00070404,             0.00070404,             0.00070404
                     77,                0.92082,                0.67659,                 1.0394,                 1.0339,                0.78524,                 1.0572,                0.63797,                0.64378,                0.63486,                0.38238,                 1.1097,                 1.1931,                 1.1978,                 1.1637,                 1.3571,                 1.1886,             0.00069854,             0.00069854,             0.00069854
                     78,                0.91982,                0.67702,                 1.0384,                 1.0314,                0.78668,                 1.0579,                0.61299,                0.60774,                0.58904,                0.36194,                 1.1172,                  1.227,                 1.2177,                 1.1664,                  1.419,                 1.2047,             0.00069304,             0.00069304,             0.00069304
                     79,                0.92239,                0.67637,                 1.0395,                 1.0301,                0.78663,                 1.0576,                0.59099,                0.62015,                0.58356,                0.35834,                  1.147,                 1.2692,                 1.2251,                 1.1849,                 1.4711,                 1.2102,             0.00068754,             0.00068754,             0.00068754
                     80,                0.92998,                0.67977,                 1.0443,                 1.0476,                0.80086,                 1.0669,                0.60403,                 0.6389,                0.59413,                0.35759,                 1.1459,                 1.3077,                 1.2406,                 1.1813,                 1.5044,                 1.2131,             0.00068204,             0.00068204,             0.00068204
